region,technology,fuel,year,production_PJ
Indonesia,Solar Floating,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,55.83
Indonesia,Solar PV_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.02
Indonesia,Solar PV_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,25.69
Indonesia,Solar PV_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,58.25
Indonesia,Solar PV_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,63.57
Indonesia,Solar PV_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,63.57
Indonesia,Solar PV_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,15.76
Indonesia,Solar PV_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,35.81
Indonesia,Solar PV_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,40.58
Indonesia,Solar PV_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,40.58
Indonesia,Solar PV_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,1.09
Indonesia,Solar PV_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,7.95
Indonesia,Solar PV_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,17.96
Indonesia,Solar PV_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,18.51
Indonesia,Solar PV_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,18.51
Indonesia,Solar PV_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,1.51
Indonesia,Solar PV_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,14.58
Indonesia,Solar PV_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,32.93
Indonesia,Solar PV_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,33.45
Indonesia,Solar PV_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,33.45
Indonesia,Tidal,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,37.54
Indonesia,Tidal,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,98.09
Indonesia,Tidal,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,152.58
Indonesia,Tidal,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,182.86
Indonesia,VRB Flow Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,23.45
Indonesia,VRB Flow Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,51.25
Indonesia,Waste,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.58
Indonesia,Waste,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,5.55
Indonesia,Waste,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,5.55
Indonesia,Waste,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,5.55
Indonesia,Wave,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,35.95
Indonesia,Wave,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,95.87
Indonesia,Wave,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,149.8
Indonesia,Wave,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,179.76
Indonesia,Wind Offshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,83.26
Indonesia,Wind Offshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,222.01
Indonesia,Wind Offshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,323.68
Indonesia,Wind Offshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,323.68
Indonesia,Wind Onshore_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.9
Indonesia,Wind Onshore_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,33.07
Indonesia,Wind Onshore_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,83.19
Indonesia,Wind Onshore_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,83.19
Indonesia,Wind Onshore_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,83.19
Indonesia,Wind Onshore_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.02
Indonesia,Wind Onshore_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.32
Indonesia,Wind Onshore_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,0.81
Indonesia,Wind Onshore_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.81
Indonesia,Wind Onshore_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,0.81
Laos,Biomass Other,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.03
Laos,Biomass Other,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,0.09
Laos,Biomass Other,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.06
Laos,Biomass Other,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,0.04
Laos,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,25.33
Laos,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,35.37
Laos,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,29.08
Laos,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,20.77
Laos,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,12.46
Laos,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2030,32.98
Laos,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2040,32.8
Laos,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2050,32.48
Laos,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2060,32.09
Laos,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,37.92
Laos,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,51.8
Laos,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,68.65
Laos,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,116.98
Laos,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,160.31
Laos,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,6.09
Laos,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,6.15
Laos,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,2.13
Laos,Solar Floating,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,4.03
Laos,Solar Floating,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,5.49
Laos,Solar Floating,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,5.49
Laos,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,3.68
Laos,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,7.03
Laos,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,7.03
Laos,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,7.03
Laos,Wind Onshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,1.63
Laos,Wind Onshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,2.61
Laos,Wind Onshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,2.61
Laos,Wind Onshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,2.61
Malaysia,Biogas,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,1.94
Malaysia,Biogas,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,12.86
Malaysia,Biogas,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,13.14
Malaysia,Biogas,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,13.69
Malaysia,Biomass Gasification,"Hydrogen input to ""Centralized Electricity Generation"" [LEAP ID:35]",2030,1.3
Malaysia,Biomass Gasification,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.49
Malaysia,Biomass Gasification,"Hydrogen input to ""Centralized Electricity Generation"" [LEAP ID:35]",2040,29.87
Malaysia,Biomass Gasification,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,18.2
Malaysia,Biomass Gasification,"Hydrogen input to ""Centralized Electricity Generation"" [LEAP ID:35]",2050,720.53
Malaysia,Biomass Gasification,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,37.57
Malaysia,Biomass Gasification,"Hydrogen input to ""Centralized Electricity Generation"" [LEAP ID:35]",2060,1375.05
Malaysia,Biomass Gasification,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,44.47
Malaysia,Biomass Other_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.57
Malaysia,Biomass Other_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,2.92
Malaysia,Biomass Other_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,23.45
Malaysia,Biomass Other_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,34.09
Malaysia,Biomass Other_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,34.09
Malaysia,Biomass Other_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.25
Malaysia,Biomass Other_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.37
Malaysia,Biomass Other_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,0.48
Malaysia,Biomass Other_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.47
Malaysia,Biomass Other_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,0.32
Malaysia,Biomass Other_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.11
Malaysia,Biomass Other_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,0.17
Malaysia,Biomass Other_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.17
Malaysia,Biomass Other_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,0.17
Malaysia,CAES,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,46.4
Malaysia,CAES,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,153.11
Malaysia,CAES,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,239.29
Malaysia,CAES,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,253.15
Malaysia,Coal Subcritical_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,148.57
Malaysia,Coal Subcritical_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,130.6
Malaysia,Coal Subcritical_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,17.0
Malaysia,Coal Ultrasupercritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,41.39
Malaysia,Coal Ultrasupercritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,61.53
Malaysia,Coal Ultrasupercritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,87.82
Malaysia,Coal Ultrasupercritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,87.82
Malaysia,Coal Ultrasupercritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,87.82
Malaysia,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2030,147.49
Malaysia,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2040,124.8
Malaysia,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2050,64.44
Malaysia,Diesel_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.1
Malaysia,Diesel_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,1.44
Malaysia,Diesel_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,1.85
Malaysia,Diesel_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,1.85
Malaysia,Gas Combined Cycle with CCS,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,1.31
Malaysia,Gas Combined Cycle with CCS,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,136.16
Malaysia,Gas Combined Cycle with CCS,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,346.77
Malaysia,Gas Combined Cycle with CCS,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,545.14
Malaysia,Gas Combined Cycle_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,180.49
Malaysia,Gas Combined Cycle_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,258.09
Malaysia,Gas Combined Cycle_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,773.84
Malaysia,Gas Combined Cycle_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,1098.21
Malaysia,Gas Combined Cycle_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,1233.09
Malaysia,Gas Combined Cycle_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,22.74
Malaysia,Gas Combined Cycle_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,42.85
Malaysia,Gas Combined Cycle_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,134.75
Malaysia,Gas Combined Cycle_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,205.13
Malaysia,Gas Combined Cycle_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,232.54
Malaysia,Gas Combined Cycle_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,17.52
Malaysia,Gas Combined Cycle_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,29.45
Malaysia,Gas Combined Cycle_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,116.94
Malaysia,Gas Combined Cycle_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,187.97
Malaysia,Gas Combined Cycle_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,210.44
Malaysia,Geothermal Flash,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.69
Malaysia,Geothermal Flash,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,0.8
Malaysia,Geothermal Flash,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.82
Malaysia,Geothermal Flash,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,0.85
Malaysia,H2 Fuel Cell,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,73.05
Malaysia,H2 Fuel Cell,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,375.61
Malaysia,H2 Fuel Cell,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,607.13
Malaysia,Large Hydro_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,108.03
Malaysia,Large Hydro_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,110.22
Malaysia,Large Hydro_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,110.22
Malaysia,Large Hydro_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,110.22
Malaysia,Large Hydro_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.67
Malaysia,Large Hydro_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,7.66
Malaysia,Large Hydro_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,9.14
Malaysia,Large Hydro_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,9.41
Malaysia,Large Hydro_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,9.76
Malaysia,Large Hydro_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,27.16
Malaysia,Large Hydro_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,144.95
Malaysia,Large Hydro_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,188.97
Malaysia,Large Hydro_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,192.03
Malaysia,Large Hydro_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,199.41
Malaysia,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,22.5
Malaysia,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,22.5
Malaysia,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,22.5
Malaysia,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,31.46
Malaysia,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,31.46
Malaysia,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,29.29
Malaysia,Solar Floating,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,7.17
Malaysia,Solar Floating,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,32.84
Malaysia,Solar Floating,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,51.35
Malaysia,Solar Floating,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,51.35
Malaysia,Solar PV_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,121.89
Malaysia,Solar PV_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,348.17
Malaysia,Solar PV_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,557.57
Malaysia,Solar PV_MYPE,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,557.57
Malaysia,Solar PV_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.02
Malaysia,Solar PV_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.04
Malaysia,Solar PV_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,11.8
Malaysia,Solar PV_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,42.96
Malaysia,Solar PV_MYSB,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,52.99
Malaysia,Solar PV_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,1.18
Malaysia,Solar PV_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,7.09
Malaysia,Solar PV_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,18.91
Malaysia,Solar PV_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,23.64
Malaysia,Solar PV_MYSR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,23.64
Malaysia,Tidal,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.19
Malaysia,Tidal,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,7.44
Malaysia,Tidal,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,13.31
Malaysia,Tidal,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,18.16
Malaysia,VRB Flow Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,30.24
Malaysia,VRB Flow Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,75.24
Malaysia,VRB Flow Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,45.0
Malaysia,Waste,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,5.28
Malaysia,Waste,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,5.65
Malaysia,Waste,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,7.65
Malaysia,Wave,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.19
Malaysia,Wave,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,7.36
Malaysia,Wave,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,13.17
Malaysia,Wave,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,17.98
Malaysia,Wind Offshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,2.11
Malaysia,Wind Offshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,9.72
Malaysia,Wind Offshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,9.72
Malaysia,Wind Offshore,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,9.72
Myanmar,Biomass Other,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,35.02
Myanmar,Biomass Other,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,70.04
Myanmar,Biomass Other,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,105.05
Myanmar,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,1.01
Myanmar,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,3.38
Myanmar,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,3.38
Myanmar,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,3.38
Myanmar,Coal Subcritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,3.38
Myanmar,Diesel,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.27
Myanmar,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2030,131.76
Myanmar,Diesel,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,1.87
Myanmar,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2040,128.86
Myanmar,Diesel,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,1.87
Myanmar,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2050,126.79
Myanmar,Diesel,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,1.04
Myanmar,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2060,123.05
Myanmar,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,23.46
Myanmar,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,61.29
Myanmar,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,99.12
Myanmar,Gas Combined Cycle,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,130.5
Myanmar,Gas Engine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,2.84
Myanmar,Gas Engine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,61.78
Myanmar,Gas Engine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,114.63
Myanmar,Gas Engine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,110.43
Myanmar,Gas Turbine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,1.52
Myanmar,Gas Turbine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,9.77
Myanmar,Gas Turbine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,10.7
Myanmar,Gas Turbine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,10.7
Myanmar,Gas Turbine,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,10.7
Myanmar,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,6.79
Myanmar,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,45.9
Myanmar,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,45.9
Myanmar,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,45.9
Myanmar,Large Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,45.9
Myanmar,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,1.46
Myanmar,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,0.75
Myanmar,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.92
Myanmar,Small Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.15
Myanmar,Small Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.21
Myanmar,Small Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,0.21
Myanmar,Small Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.21
Myanmar,Small Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,0.21
Myanmar,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,1.38
Myanmar,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,1.39
Myanmar,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,1.39
Myanmar,Solar PV,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,1.39
