region,technology,year,fixed_om_cost
Philippines,Wind Onshore,2030,235.73
Philippines,Wind Onshore,2040,329.51
Philippines,Wind Onshore,2050,448.05
Philippines,Wind Onshore,2060,448.05
Singapore,CAES,2040,0.5
Singapore,CAES,2050,0.53
Singapore,CAES,2060,0.53
Singapore,Fuel Oil,2025,0.12
Singapore,Fuel Oil,2030,0.12
Singapore,Fuel Oil,2040,0.12
Singapore,Fuel Oil,2050,0.12
Singapore,Fuel Oil,2060,0.12
Singapore,Gas Combined Cycle,2025,292.96
Singapore,Gas Combined Cycle,2030,409.26
Singapore,Gas Combined Cycle,2040,539.96
Singapore,Gas Combined Cycle,2050,659.37
Singapore,Gas Combined Cycle,2060,769.85
Singapore,Gas Turbine,2025,6.83
Singapore,Gas Turbine,2030,6.68
Singapore,Gas Turbine,2040,6.58
Singapore,Gas Turbine,2050,6.47
Singapore,Gas Turbine,2060,6.47
Singapore,Lithium Ion Batteries,2025,2.74
Singapore,Lithium Ion Batteries,2030,2.1
Singapore,Lithium Ion Batteries,2040,5.07
Singapore,Lithium Ion Batteries,2050,5.87
Singapore,Lithium Ion Batteries,2060,8.06
Singapore,Solar PV,2025,8.84
Singapore,Solar PV,2030,15.04
Singapore,Solar PV,2040,14.26
Singapore,Solar PV,2050,13.49
Singapore,Solar PV,2060,13.49
Singapore,Waste,2025,92.0
Singapore,Waste,2030,82.4
Singapore,Waste,2040,76.67
Singapore,Waste,2050,70.93
Singapore,Waste,2060,70.93
Thailand,Biogas,2040,148.83
Thailand,Biogas,2050,138.5
Thailand,Biogas,2060,138.5
Thailand,Biomass Gasification,2025,534.64
Thailand,Biomass Gasification,2030,481.5
Thailand,Biomass Gasification,2040,52.81
Thailand,Biomass Gasification,2040,1137.09
Thailand,Biomass Gasification,2050,247.45
Thailand,Biomass Gasification,2050,1097.88
Thailand,Biomass Gasification,2060,430.94
Thailand,Biomass Gasification,2060,1097.88
Thailand,Biomass Other,2040,674.56
Thailand,Biomass Other,2050,3173.91
Thailand,Biomass Other,2060,5110.17
Thailand,CAES,2040,23.52
Thailand,CAES,2050,33.88
Thailand,CAES,2060,33.88
Thailand,Coal Subcritical,2025,184.2
Thailand,Coal Subcritical,2030,181.13
Thailand,Coal Subcritical,2040,181.13
Thailand,Coal Subcritical,2050,181.13
Thailand,Coal Subcritical,2060,181.13
Thailand,Coal Supercritical,2030,2.74
Thailand,Coal Supercritical,2040,2.69
Thailand,Coal Supercritical,2050,2.65
Thailand,Coal Supercritical,2060,2.65
Thailand,Diesel,2025,0.59
Thailand,Diesel,2030,0.59
Thailand,Gas Combined Cycle,2025,1100.89
Thailand,Gas Combined Cycle,2030,1734.72
Thailand,Gas Combined Cycle,2040,2913.74
Thailand,Gas Combined Cycle,2050,4092.76
Thailand,Gas Combined Cycle,2060,4682.26
Thailand,Gas Combined Cycle with CCS,2050,188.83
Thailand,Gas Combined Cycle with CCS,2060,188.83
Thailand,H2 Fuel Cell,2040,1.86
Thailand,H2 Fuel Cell,2050,2.13
Thailand,H2 Fuel Cell,2060,2.86
Thailand,Large Hydro,2025,115.25
Thailand,Large Hydro,2030,178.4
Thailand,Large Hydro,2040,270.42
Thailand,Large Hydro,2050,261.85
Thailand,Large Hydro,2060,261.85
Thailand,Lithium Ion Batteries,2040,62.91
Thailand,Lithium Ion Batteries,2050,92.47
Thailand,Lithium Ion Batteries,2060,112.39
Thailand,Small Hydro,2040,18.01
Thailand,Small Hydro,2050,21.59
Thailand,Small Hydro,2060,25.84
Thailand,Solar Floating,2040,18.53
Thailand,Solar Floating,2050,16.62
Thailand,Solar Floating,2060,16.62
Thailand,Solar PV,2025,24.67
Thailand,Solar PV,2030,59.21
Thailand,Solar PV,2040,128.01
Thailand,Solar PV,2050,121.07
Thailand,Solar PV,2060,121.07
Thailand,Tidal,2050,12.08
Thailand,Tidal,2060,24.17
Thailand,Waste,2040,216.16
Thailand,Waste,2050,199.98
Thailand,Waste,2060,199.98
Thailand,Wave,2050,23.2
Thailand,Wave,2060,46.4
Thailand,Wind Onshore,2025,59.84
Thailand,Wind Onshore,2030,55.44
Thailand,Wind Onshore,2040,149.46
Thailand,Wind Onshore,2050,135.87
Thailand,Wind Onshore,2060,135.87
Vietnam,Biomass Other,2025,45.33
Vietnam,Biomass Other,2030,100.21
Vietnam,Biomass Other,2040,286.85
Vietnam,Biomass Other,2050,286.85
Vietnam,Biomass Other,2060,286.85
Vietnam,Coal Subcritical,2025,852.57
Vietnam,Coal Subcritical,2030,843.97
Vietnam,Coal Subcritical,2040,843.97
Vietnam,Coal Subcritical,2050,843.97
Vietnam,Coal Subcritical,2060,843.97
Vietnam,Coal Supercritical,2030,305.82
Vietnam,Coal Supercritical,2040,631.22
Vietnam,Coal Supercritical,2050,1098.8
Vietnam,Coal Supercritical,2060,1098.8
Vietnam,Diesel,2025,13.71
Vietnam,Diesel,2030,5.76
Vietnam,Diesel,2040,1.6
Vietnam,Diesel,2050,1.58
Vietnam,Diesel,2060,1.58
Vietnam,Gas Combined Cycle,2025,271.09
Vietnam,Gas Combined Cycle,2030,1052.39
Vietnam,Gas Combined Cycle,2040,1137.89
Vietnam,Gas Combined Cycle,2050,1683.55
Vietnam,Gas Combined Cycle,2060,3108.55
Vietnam,Gas Combined Cycle with CCS,2060,378.0
Vietnam,Large Hydro,2025,920.33
Vietnam,Large Hydro,2030,919.31
Vietnam,Large Hydro,2040,970.32
Vietnam,Large Hydro,2050,939.56
Vietnam,Large Hydro,2060,939.56
Vietnam,Lithium Ion Batteries,2025,143.45
Vietnam,Lithium Ion Batteries,2030,171.15
Vietnam,Lithium Ion Batteries,2040,353.27
Vietnam,Lithium Ion Batteries,2050,706.48
Vietnam,Lithium Ion Batteries,2060,706.48
Vietnam,Nuclear LWR,2030,301.32
Vietnam,Nuclear LWR,2040,592.6
Vietnam,Nuclear LWR,2050,843.7
Vietnam,Nuclear LWR,2060,1054.62
Vietnam,Pumped Hydro,2025,81.71
Vietnam,Pumped Hydro,2030,112.2
Vietnam,Pumped Hydro,2040,211.53
Vietnam,Pumped Hydro,2050,398.81
Vietnam,Pumped Hydro,2060,398.81
Vietnam,Small Hydro,2030,178.62
Vietnam,Small Hydro,2040,298.5
Vietnam,Small Hydro,2050,333.07
Vietnam,Small Hydro,2060,333.07
Vietnam,Solar PV,2025,126.02
Vietnam,Solar PV,2030,139.68
Vietnam,Solar PV,2040,276.58
Vietnam,Solar PV,2050,453.58
Vietnam,Solar PV,2060,790.87
Vietnam,Wind Offshore,2030,598.74
Vietnam,Wind Offshore,2040,6262.52
Vietnam,Wind Offshore,2050,11307.22
Vietnam,Wind Offshore,2060,11307.22
Vietnam,Wind Onshore,2025,521.31
Vietnam,Wind Onshore,2030,931.68
Vietnam,Wind Onshore,2040,1521.3
Vietnam,Wind Onshore,2050,2311.5
Vietnam,Wind Onshore,2060,2311.5
