ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence,scenario
Laos,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0, 2033, 0, 2034, 0, 2035, 0, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.0 Mt/yr; canon share(FAME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 33/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Laos,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0, 2033, 0, 2034, 0, 2035, 0, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.0 Mt/yr; canon share(CME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 33/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Laos,Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0, 2033, 0, 2034, 0, 2035, 0, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.0 Mt/yr; canon share(POME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 33/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Malaysia,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 22.22829, 2027, 26.67395, 2028, 27.14191, 2029, 15.5988, 2030, 15.5988, 2031, 15.5988, 2032, 15.5988, 2033, 15.5988, 2034, 15.5988, 2035, 15.5988, 2036, 15.5988, 2037, 15.5988, 2038, 15.5988, 2039, 15.5988, 2040, 15.5988, 2041, 15.5988, 2042, 15.5988, 2043, 15.5988, 2044, 15.5988, 2045, 15.5988, 2046, 15.5988, 2047, 15.5988, 2048, 15.5988, 2049, 15.5988, 2050, 15.5988, 2051, 3.11976, 2052, 3.11976, 2053, 3.11976, 2054, 3.11976, 2055, 3.11976, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=2.85 Mt/yr; canon share(FAME Biodiesel)=1.00000 -> installed_2023(process)=2.85000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2026 (national brownfield). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 33/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Malaysia,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0, 2033, 0, 2034, 0, 2035, 0, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=2.85 Mt/yr; canon share(CME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 33/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Malaysia,Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 5.84955, 2029, 5.84955, 2030, 3.8997, 2031, 0.77994, 2032, 0.77994, 2033, 0.77994, 2034, 0.77994, 2035, 0.77994, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=2.85 Mt/yr; canon share(POME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 31/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Myanmar,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 5.84955, 2029, 5.84951, 2030, 1.94984, 2031, 1.16992, 2032, 1.16992, 2033, 1.16992, 2034, 1.16992, 2035, 1.16992, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.0 Mt/yr; canon share(FAME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 32/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Myanmar,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0, 2033, 0, 2034, 0, 2035, 0, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.0 Mt/yr; canon share(CME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 33/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Myanmar,Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0, 2033, 0, 2034, 0, 2035, 0, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.0 Mt/yr; canon share(POME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 33/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Philippines,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0, 2033, 0, 2034, 0, 2035, 0, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.4 Mt/yr; canon share(FAME Biodiesel)=1.00000 -> installed_2023(process)=0.40000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2026 (national brownfield). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 35/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Philippines,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 5.84955, 2029, 5.84955, 2030, 5.84955, 2031, 5.84955, 2032, 5.84955, 2033, 5.84953, 2034, 1.94986, 2035, 1.94986, 2036, 1.94986, 2037, 1.94986, 2038, 1.94986, 2039, 1.94986, 2040, 1.94986, 2041, 1.94984, 2042, 1.94984, 2043, 1.94984, 2044, 1.94984, 2045, 1.94984, 2046, 1.94984, 2047, 1.94984, 2048, 1.94984, 2049, 1.94984, 2050, 1.94984, 2051, 1.94986, 2052, 1.94986, 2053, 1.94986, 2054, 1.94986, 2055, 1.94986, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.4 Mt/yr; canon share(CME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 28/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Philippines,Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0, 2033, 0, 2034, 0, 2035, 0, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.4 Mt/yr; canon share(POME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 33/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Singapore,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 5.84955, 2029, 5.84955, 2030, 5.84955, 2031, 5.84955, 2032, 5.84955, 2033, 5.84955, 2034, 7.01946, 2035, 8.42335, 2036, 7.95539, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.3 Mt/yr; canon share(FAME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 25/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Singapore,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0, 2033, 0, 2034, 0, 2035, 0, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.3 Mt/yr; canon share(CME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 33/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Singapore,Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0, 2033, 0, 2034, 0, 2035, 0, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.3 Mt/yr; canon share(POME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 33/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Thailand,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 15.5988, 2027, 15.5988, 2028, 7.7994, 2029, 7.7994, 2030, 7.7994, 2031, 7.7994, 2032, 7.7994, 2033, 7.7994, 2034, 7.7994, 2035, 7.7994, 2036, 7.7994, 2037, 7.7994, 2038, 7.7994, 2039, 7.7994, 2040, 7.7994, 2041, 7.7994, 2042, 7.7994, 2043, 7.7994, 2044, 7.7994, 2045, 7.7994, 2046, 7.7994, 2047, 7.7994, 2048, 7.7994, 2049, 7.7994, 2050, 7.7994, 2051, 7.7994, 2052, 7.7994, 2053, 7.7994, 2054, 7.7994, 2055, 7.7994, 2056, 7.7994, 2057, 7.7994, 2058, 7.7994, 2059, 7.7994, 2060, 7.7994)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=2.0 Mt/yr; canon share(FAME Biodiesel)=1.00000 -> installed_2023(process)=2.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2026 (national brownfield). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 34/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Thailand,Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0, 2033, 0, 2034, 0, 2035, 0, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=2.0 Mt/yr; canon share(CME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 33/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Thailand,Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0, 2033, 0, 2034, 0, 2035, 0, 2036, 0, 2037, 0, 2038, 0, 2039, 0, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=2.0 Mt/yr; canon share(POME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 33/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
Vietnam,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity Addition,"Interp(2025, 0, 2026, 0, 2027, 0, 2028, 5.84955, 2029, 5.84955, 2030, 5.84955, 2031, 5.84955, 2032, 5.84955, 2033, 1.94987, 2034, 1.94984, 2035, 1.94984, 2036, 1.94984, 2037, 1.94984, 2038, 1.94984, 2039, 1.94984, 2040, 1.94984, 2041, 1.94986, 2042, 1.94986, 2043, 1.94986, 2044, 1.94986, 2045, 1.94986, 2046, 0.77994, 2047, 0.77994, 2048, 0.77994, 2049, 0.77994, 2050, 0.77994, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Million Gigajoules/Year,Biodiesel,"build_rate_limit.csv (bioenergy team 20260722), recursion PRE-SOLVED OFFLINE; allocation across processes uses CANON's own share-of-historical-production idiom (Exogenous Capacity '* Interp(<feedstock>) / Interp(<total>)', evaluated at 2023)","installed_2023(national)=0.3 Mt/yr; canon share(FAME Biodiesel)=0.00000 -> installed_2023(process)=0.00000 Mt/yr; alpha=0.2; one_train_floor=0.15 Mt/yr; first_feasible_year=2028 (greenfield (zero installed base)). Mt/yr -> Million Gigajoules/Year x38.997. Pure numerics in Interp() - no Max(), so S11.2e numeric-first-parsed-as-year CANNOT fire. Unroll CLAMPED against the GROUP 4 accepted Maximum Capacity trajectory in 28/36 years so the level cap and the rate cap agree instead of over-determining each other.",build_rate_limit.csv,refining_buildrate,Low,Regional Aspiration Scenario
