ams,branch,variable,expression,unit,scenario,source,note
Malaysia,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Exogenous Devices,"Interp(2005, 1259954.4, 2006, 1329012.5, 2007, 1399740.4, 2008, 1471619.3, 2009, 1544157.2, 2010, 1615338.3, 2011, 1685935, 2012, 1758346.4, 2013, 1831894.8, 2014, 1906438, 2015, 1981514.7, 2016, 2057332.8, 2017, 2133598.4, 2018, 2209022.6, 2019, 2283951.7, 2020, 2358968.5, 2021, 2433029.6, 2022, 2506929.5, 2023, 2581755.5, 2024, 2656505.8, 2025, 2731091.9)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Efficiency,"Interp(2014, 65.60978818576503)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Efficiency,"Interp(2014, 82.4297520661157)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Efficiency,"Interp(2014, 68.52967761373908)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Efficiency,"Interp(2014, 90.72596729158356)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Efficiency,"Interp(2014, 58.85075202468183)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Efficiency,"Interp(2014, 86.33663366336634)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Exogenous Devices,"Interp(2005, 70885, 2006, 73092.5, 2007, 75334.5, 2008, 77503.5, 2009, 79715.7, 2010, 82114.7, 2011, 84607.7, 2012, 87183.7, 2013, 89821, 2014, 92497.6, 2015, 95201.1, 2016, 97947.9, 2017, 100719.9, 2018, 103504.1, 2019, 106328.3, 2020, 109216.9, 2021, 112136, 2022, 115115.3, 2023, 118179.4, 2024, 121265.7, 2025, 124366.7)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Exogenous Devices,"Interp(2005, 9224.8, 2006, 9512, 2007, 9803.8, 2008, 10086.1, 2009, 10374, 2010, 10686.2, 2011, 11010.6, 2012, 11345.8, 2013, 11689, 2014, 12037.4, 2015, 12389.2, 2016, 12746.6, 2017, 13107.4, 2018, 13469.7, 2019, 13837.2, 2020, 14213.2, 2021, 14593, 2022, 14980.8, 2023, 15379.5, 2024, 15781.2, 2025, 16184.7)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Exogenous Devices,"Interp(2005, 38841.1, 2006, 40050.7, 2007, 41279.2, 2008, 42467.7, 2009, 43679.8, 2010, 44994.3, 2011, 46360.4, 2012, 47771.9, 2013, 49217, 2014, 50683.6, 2015, 52165, 2016, 53670.1, 2017, 55189, 2018, 56714.6, 2019, 58262.1, 2020, 59844.9, 2021, 61444.4, 2022, 63076.9, 2023, 64755.9, 2024, 66447, 2025, 68146.2)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Exogenous Devices,"Interp(2005, 305145.3, 2006, 314648.4, 2007, 324299.4, 2008, 333636.8, 2009, 343159.5, 2010, 353486.8, 2011, 364218.7, 2012, 375308.1, 2013, 386660.8, 2014, 398183.3, 2015, 409821.1, 2016, 421645.6, 2017, 433578.5, 2018, 445564, 2019, 457721.3, 2020, 470156.5, 2021, 482722.5, 2022, 495547.5, 2023, 508738.2, 2024, 522024, 2025, 535373.2)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Exogenous Devices,"Interp(2005, 2003471.6, 2006, 2065865.5, 2007, 2129230.8, 2008, 2190536.4, 2009, 2253059.3, 2010, 2320864.1, 2011, 2391326.3, 2012, 2464134.8, 2013, 2538672.6, 2014, 2614325.3, 2015, 2690734.7, 2016, 2768369.7, 2017, 2846717, 2018, 2925409.7, 2019, 3005229.7, 2020, 3086874.6, 2021, 3169378.7, 2022, 3253582.8, 2023, 3340188.3, 2024, 3427417.8, 2025, 3515063.6)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Myanmar,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Efficiency,"Interp(2014, 65.60978818576503)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Efficiency,"Interp(2014, 82.4297520661157)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Efficiency,"Interp(2014, 68.52967761373908)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Efficiency,"Interp(2014, 90.72596729158356)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Efficiency,"Interp(2014, 58.85075202468183)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Efficiency,"Interp(2014, 86.33663366336634)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Exogenous Devices,"Interp(2005, 134572, 2006, 141201.7, 2007, 148054.3, 2008, 155153.9, 2009, 162456.6, 2010, 169947.3, 2011, 177655.3, 2012, 185547.3, 2013, 193583.2, 2014, 201726.4, 2015, 210222.2, 2016, 219200.1, 2017, 228426.3, 2018, 237787.9, 2019, 247311.4, 2020, 257030.5, 2021, 266664.4, 2022, 276456.7, 2023, 286673.5, 2024, 297055.6, 2025, 307596.4)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Exogenous Devices,"Interp(2005, 18690.5, 2006, 19611.3, 2007, 20563.1, 2008, 21549.2, 2009, 22563.4, 2010, 23603.8, 2011, 24674.4, 2012, 25770.5, 2013, 26886.6, 2014, 28017.6, 2015, 29197.5, 2016, 30444.5, 2017, 31725.9, 2018, 33026.1, 2019, 34348.8, 2020, 35698.7, 2021, 37036.7, 2022, 38396.8, 2023, 39815.8, 2024, 41257.7, 2025, 42721.7)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Exogenous Devices,"Interp(2005, 74014.6, 2006, 77660.9, 2007, 81429.9, 2008, 85334.7, 2009, 89351.1, 2010, 93471, 2011, 97710.4, 2012, 102051, 2013, 106470.8, 2014, 110949.5, 2015, 115622.2, 2016, 120560.1, 2017, 125634.4, 2018, 130783.4, 2019, 136021.3, 2020, 141366.7, 2021, 146665.4, 2022, 152051.2, 2023, 157670.4, 2024, 163380.6, 2025, 169178)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Exogenous Devices,"Interp(2005, 881495.2, 2006, 924922.2, 2007, 969809.6, 2008, 1016314.7, 2009, 1064149.6, 2010, 1113216.7, 2011, 1163707, 2012, 1215402.3, 2013, 1268040.4, 2014, 1321381.3, 2015, 1377032.1, 2016, 1435840.6, 2017, 1496275, 2018, 1557597.4, 2019, 1619979.6, 2020, 1683642.9, 2021, 1746748.9, 2022, 1810892.2, 2023, 1877815.6, 2024, 1945822, 2025, 2014868.1)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Exogenous Devices,"Interp(2005, 5972218.7, 2006, 6266440.9, 2007, 6570557.2, 2008, 6885634.1, 2009, 7209720.5, 2010, 7542154.8, 2011, 7884231.4, 2012, 8234472.4, 2013, 8591101.2, 2014, 8952491.2, 2015, 9329530.4, 2016, 9727964, 2017, 10137413, 2018, 10552878.4, 2019, 10975524.2, 2020, 11406849.5, 2021, 11834399.2, 2022, 12268976.2, 2023, 12722389.2, 2024, 13183139.1, 2025, 13650933.5)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Philippines,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Efficiency,"Interp(2014, 65.60978818576503)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Efficiency,"Interp(2014, 82.4297520661157)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Efficiency,"Interp(2014, 68.52967761373908)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Efficiency,"Interp(2014, 90.72596729158356)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Efficiency,"Interp(2014, 58.85075202468183)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Efficiency,"Interp(2014, 86.33663366336634)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Exogenous Devices,"Interp(2005, 30073.2, 2006, 32000.6, 2007, 34372.9, 2008, 37315.1, 2009, 39549.7, 2010, 41363.3, 2011, 43358.8, 2012, 45580.6, 2013, 47480, 2014, 49262, 2015, 51015.3, 2016, 52851.1, 2017, 54057, 2018, 55463.8, 2019, 57254.3, 2020, 58210.9, 2021, 56908.2, 2022, 59918.9, 2023, 61397.7, 2024, 62867.7, 2025, 64322.9)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Exogenous Devices,"Interp(2005, 14495.3, 2006, 15424.3, 2007, 16567.7, 2008, 17985.9, 2009, 19062.9, 2010, 19937.1, 2011, 20898.9, 2012, 21969.8, 2013, 22885.4, 2014, 23744.3, 2015, 24589.4, 2016, 25474.2, 2017, 26055.5, 2018, 26733.5, 2019, 27596.6, 2020, 28057.7, 2021, 27429.7, 2022, 28880.9, 2023, 29593.7, 2024, 30302.2, 2025, 31003.6)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Exogenous Devices,"Interp(2005, 27486.9, 2006, 29248.6, 2007, 31416.8, 2008, 34106, 2009, 36148.4, 2010, 37806.1, 2011, 39630, 2012, 41660.6, 2013, 43396.8, 2014, 45025.5, 2015, 46628, 2016, 48305.9, 2017, 49408.1, 2018, 50693.9, 2019, 52330.4, 2020, 53204.8, 2021, 52014.1, 2022, 54765.9, 2023, 56117.5, 2024, 57461.1, 2025, 58791.1)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Exogenous Devices,"Interp(2005, 337181, 2006, 358791.1, 2007, 385388.9, 2008, 418376.4, 2009, 443430.7, 2010, 463765.8, 2011, 486139, 2012, 511049.3, 2013, 532346.3, 2014, 552325.7, 2015, 571983.4, 2016, 592567, 2017, 606087.5, 2018, 621859.6, 2019, 641934.9, 2020, 652661, 2021, 638054.6, 2022, 671811.2, 2023, 688390.9, 2024, 704872.5, 2025, 721187.9)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Exogenous Devices,"Interp(2005, 192167.9, 2006, 204484, 2007, 219642.8, 2008, 238443.2, 2009, 252722.3, 2010, 264311.8, 2011, 277062.8, 2012, 291259.8, 2013, 303397.5, 2014, 314784.3, 2015, 325987.7, 2016, 337718.8, 2017, 345424.5, 2018, 354413.4, 2019, 365854.8, 2020, 371967.9, 2021, 363643.3, 2022, 382882.1, 2023, 392331.2, 2024, 401724.5, 2025, 411023.1)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Singapore,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Efficiency,"Interp(2014, 65.60978818576503)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Efficiency,"Interp(2014, 82.4297520661157)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Efficiency,"Interp(2014, 68.52967761373908)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Efficiency,"Interp(2014, 90.72596729158356)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Efficiency,"Interp(2014, 58.85075202468183)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Efficiency,"Interp(2014, 86.33663366336634)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Exogenous Devices,"Interp(2005, 637033.9, 2006, 655180.6, 2007, 673064.1, 2008, 690533.5, 2009, 707475.6, 2010, 723749.2, 2011, 739494, 2012, 754884.6, 2013, 769657.3, 2014, 783622.5, 2015, 796662.7, 2016, 809090.4, 2017, 820900.9, 2018, 831629.7, 2019, 841409.5, 2020, 850685.8, 2021, 859104.2, 2022, 866823.6, 2023, 874311.6, 2024, 881241, 2025, 887651.8)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Exogenous Devices,"Interp(2005, 301845.3, 2006, 310443.7, 2007, 318917.4, 2008, 327194.9, 2009, 335222.6, 2010, 342933.5, 2011, 350393.8, 2012, 357686.4, 2013, 364686.1, 2014, 371303.2, 2015, 377482.1, 2016, 383370.6, 2017, 388966.8, 2018, 394050.4, 2019, 398684.4, 2020, 403079.8, 2021, 407068.6, 2022, 410726.3, 2023, 414274.4, 2024, 417557.7, 2025, 420595.4)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Exogenous Devices,"Interp(2005, 656338, 2006, 675034.5, 2007, 693460, 2008, 711458.8, 2009, 728914.2, 2010, 745681, 2011, 761902.9, 2012, 777759.9, 2013, 792980.3, 2014, 807368.6, 2015, 820804, 2016, 833608.2, 2017, 845776.6, 2018, 856830.6, 2019, 866906.8, 2020, 876464.2, 2021, 885137.6, 2022, 893091, 2023, 900805.9, 2024, 907945.3, 2025, 914550.4)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Exogenous Devices,"Interp(2005, 3330827.4, 2006, 3425710.1, 2007, 3519216.6, 2008, 3610558.2, 2009, 3699142.2, 2010, 3784231.5, 2011, 3866555.2, 2012, 3947027.6, 2013, 4024269, 2014, 4097287.7, 2015, 4165470.7, 2016, 4230450.4, 2017, 4292203.4, 2018, 4348300.5, 2019, 4399436.2, 2020, 4447938.5, 2021, 4491955.1, 2022, 4532317.4, 2023, 4571469.6, 2024, 4607701.2, 2025, 4641221)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Exogenous Devices,"Interp(2005, 12621343.8, 2006, 12980878.2, 2007, 13335197.7, 2008, 13681314.3, 2009, 14016981.2, 2010, 14339405.9, 2011, 14651351.3, 2012, 14956281.6, 2013, 15248968.7, 2014, 15525654.7, 2015, 15784017.3, 2016, 16030242, 2017, 16264239.4, 2018, 16476805.6, 2019, 16670571.5, 2020, 16854358.8, 2021, 17021149.1, 2022, 17174091.9, 2023, 17322449.5, 2024, 17459739.9, 2025, 17586755)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Thailand,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Vietnam,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Vietnam,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Efficiency,"Interp(2014, 65.60978818576503)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Vietnam,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Efficiency,"Interp(2014, 82.4297520661157)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Vietnam,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Vietnam,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Efficiency,"Interp(2014, 68.52967761373908)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Vietnam,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Efficiency,"Interp(2014, 90.72596729158356)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Vietnam,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Vietnam,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Efficiency,"Interp(2014, 58.85075202468183)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Vietnam,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Efficiency,"Interp(2014, 86.33663366336634)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Vietnam,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Exogenous Devices,"Interp(2005, 744230.9, 2006, 774526.7, 2007, 805140, 2008, 836276.2, 2009, 868191.5, 2010, 900814.7, 2011, 933810.9, 2012, 967206.3, 2013, 1000987.5, 2014, 1034994.8, 2015, 1069051.5, 2016, 1103019.8, 2017, 1136766.8, 2018, 1170291.7, 2019, 1203635.6, 2020, 1237130.4, 2021, 1269953.6, 2022, 1301417.5, 2023, 1332163.8, 2024, 1362331.5, 2025, 1391899.7)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Vietnam,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Exogenous Devices,"Interp(2005, 133647.1, 2006, 139087.5, 2007, 144585, 2008, 150176.4, 2009, 155907.6, 2010, 161766, 2011, 167691.4, 2012, 173688.5, 2013, 179754.8, 2014, 185861.7, 2015, 191977.6, 2016, 198077.5, 2017, 204137.7, 2018, 210158, 2019, 216145.8, 2020, 222160.7, 2021, 228055, 2022, 233705.2, 2023, 239226.6, 2024, 244644, 2025, 249953.8)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Vietnam,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Exogenous Devices,"Interp(2005, 462523.8, 2006, 481352, 2007, 500377.5, 2008, 519728, 2009, 539562.7, 2010, 559837.3, 2011, 580343.8, 2012, 601098.3, 2013, 622092.6, 2014, 643227.4, 2015, 664392.9, 2016, 685503.5, 2017, 706476.6, 2018, 727311.6, 2019, 748034.1, 2020, 768850.4, 2021, 789249.3, 2022, 808803.5, 2023, 827911.7, 2024, 846660.3, 2025, 865036.3)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
