branch_path,variable,scenario,region,expression,units,scale,per,source
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Fixed OM Cost,Baseline Simulation,Thailand,"Interp(2023, 97.0, 2030, 90.2, 2050, 72.8)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Fixed OM Cost,AMS Target Scenario,Thailand,"Interp(2023, 97.0, 2030, 90.2, 2050, 72.8)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Fixed OM Cost,Regional Aspiration Scenario,Thailand,"Interp(2023, 97.0, 2030, 90.2, 2050, 72.8)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Variable OM Cost,Current Accounts,Thailand,"Interp(2023, 4.5, 2030, 4.2, 2050, 3.7)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Variable OM Cost,Baseline Simulation,Thailand,"Interp(2023, 4.5, 2030, 4.2, 2050, 3.7)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Variable OM Cost,AMS Target Scenario,Thailand,"Interp(2023, 4.5, 2030, 4.2, 2050, 3.7)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Variable OM Cost,Regional Aspiration Scenario,Thailand,"Interp(2023, 4.5, 2030, 4.2, 2050, 3.7)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Process Efficiency,Current Accounts,Thailand,"Interp(2023, 29.0, 2030, 30.0, 2050, 31.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Process Efficiency,Baseline Simulation,Thailand,"Interp(2023, 29.0, 2030, 30.0, 2050, 31.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Process Efficiency,AMS Target Scenario,Thailand,"Interp(2023, 29.0, 2030, 30.0, 2050, 31.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Process Efficiency,Regional Aspiration Scenario,Thailand,"Interp(2023, 29.0, 2030, 30.0, 2050, 31.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Capital Cost,Current Accounts,Vietnam,"Interp(2023, 3840.0, 2030, 3460.0, 2050, 2770.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Capital Cost,Baseline Simulation,Vietnam,"Interp(2023, 3840.0, 2030, 3460.0, 2050, 2770.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Capital Cost,AMS Target Scenario,Vietnam,"Interp(2023, 3840.0, 2030, 3460.0, 2050, 2770.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Capital Cost,Regional Aspiration Scenario,Vietnam,"Interp(2023, 3840.0, 2030, 3460.0, 2050, 2770.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Fixed OM Cost,Current Accounts,Vietnam,"Interp(2023, 97.0, 2030, 90.2, 2050, 72.8)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Fixed OM Cost,Baseline Simulation,Vietnam,"Interp(2023, 97.0, 2030, 90.2, 2050, 72.8)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Fixed OM Cost,AMS Target Scenario,Vietnam,"Interp(2023, 97.0, 2030, 90.2, 2050, 72.8)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Fixed OM Cost,Regional Aspiration Scenario,Vietnam,"Interp(2023, 97.0, 2030, 90.2, 2050, 72.8)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Variable OM Cost,Current Accounts,Vietnam,"Interp(2023, 4.5, 2030, 4.2, 2050, 3.7)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Variable OM Cost,Baseline Simulation,Vietnam,"Interp(2023, 4.5, 2030, 4.2, 2050, 3.7)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Variable OM Cost,AMS Target Scenario,Vietnam,"Interp(2023, 4.5, 2030, 4.2, 2050, 3.7)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Variable OM Cost,Regional Aspiration Scenario,Vietnam,"Interp(2023, 4.5, 2030, 4.2, 2050, 3.7)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Process Efficiency,Current Accounts,Vietnam,"Interp(2023, 29.0, 2030, 30.0, 2050, 31.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Process Efficiency,Baseline Simulation,Vietnam,"Interp(2023, 29.0, 2030, 30.0, 2050, 31.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Process Efficiency,AMS Target Scenario,Vietnam,"Interp(2023, 29.0, 2030, 30.0, 2050, 31.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Process Efficiency,Regional Aspiration Scenario,Vietnam,"Interp(2023, 29.0, 2030, 30.0, 2050, 31.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Current Accounts,Brunei,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Baseline Simulation,Brunei,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,AMS Target Scenario,Brunei,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Regional Aspiration Scenario,Brunei,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Current Accounts,Brunei,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Baseline Simulation,Brunei,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,AMS Target Scenario,Brunei,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Regional Aspiration Scenario,Brunei,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Current Accounts,Brunei,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Baseline Simulation,Brunei,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,AMS Target Scenario,Brunei,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Regional Aspiration Scenario,Brunei,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Current Accounts,Brunei,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Baseline Simulation,Brunei,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,AMS Target Scenario,Brunei,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Regional Aspiration Scenario,Brunei,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Current Accounts,Cambodia,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Baseline Simulation,Cambodia,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,AMS Target Scenario,Cambodia,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Regional Aspiration Scenario,Cambodia,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Current Accounts,Cambodia,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Baseline Simulation,Cambodia,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,AMS Target Scenario,Cambodia,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Regional Aspiration Scenario,Cambodia,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Current Accounts,Cambodia,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Baseline Simulation,Cambodia,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,AMS Target Scenario,Cambodia,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Regional Aspiration Scenario,Cambodia,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Current Accounts,Cambodia,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Baseline Simulation,Cambodia,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,AMS Target Scenario,Cambodia,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Regional Aspiration Scenario,Cambodia,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Current Accounts,Indonesia,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Baseline Simulation,Indonesia,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,AMS Target Scenario,Indonesia,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Regional Aspiration Scenario,Indonesia,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Current Accounts,Indonesia,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Baseline Simulation,Indonesia,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,AMS Target Scenario,Indonesia,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Regional Aspiration Scenario,Indonesia,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Current Accounts,Indonesia,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Baseline Simulation,Indonesia,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,AMS Target Scenario,Indonesia,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Regional Aspiration Scenario,Indonesia,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Current Accounts,Indonesia,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Baseline Simulation,Indonesia,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,AMS Target Scenario,Indonesia,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Regional Aspiration Scenario,Indonesia,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Current Accounts,Laos,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Baseline Simulation,Laos,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,AMS Target Scenario,Laos,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Regional Aspiration Scenario,Laos,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Current Accounts,Laos,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Baseline Simulation,Laos,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,AMS Target Scenario,Laos,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Regional Aspiration Scenario,Laos,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Current Accounts,Laos,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Baseline Simulation,Laos,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,AMS Target Scenario,Laos,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Regional Aspiration Scenario,Laos,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Current Accounts,Laos,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Baseline Simulation,Laos,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,AMS Target Scenario,Laos,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Regional Aspiration Scenario,Laos,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Current Accounts,Malaysia,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Baseline Simulation,Malaysia,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,AMS Target Scenario,Malaysia,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Regional Aspiration Scenario,Malaysia,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Current Accounts,Malaysia,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Baseline Simulation,Malaysia,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,AMS Target Scenario,Malaysia,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Regional Aspiration Scenario,Malaysia,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Current Accounts,Malaysia,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Baseline Simulation,Malaysia,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,AMS Target Scenario,Malaysia,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Regional Aspiration Scenario,Malaysia,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Current Accounts,Malaysia,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Baseline Simulation,Malaysia,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,AMS Target Scenario,Malaysia,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Regional Aspiration Scenario,Malaysia,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Current Accounts,Myanmar,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Baseline Simulation,Myanmar,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,AMS Target Scenario,Myanmar,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Regional Aspiration Scenario,Myanmar,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Current Accounts,Myanmar,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Baseline Simulation,Myanmar,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,AMS Target Scenario,Myanmar,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Regional Aspiration Scenario,Myanmar,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Current Accounts,Myanmar,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Baseline Simulation,Myanmar,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,AMS Target Scenario,Myanmar,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Variable OM Cost,Regional Aspiration Scenario,Myanmar,"Interp(2023, 1.25, 2030, 1.2, 2050, 1.15)",USD/MWh,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Current Accounts,Myanmar,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Baseline Simulation,Myanmar,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,AMS Target Scenario,Myanmar,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Process Efficiency,Regional Aspiration Scenario,Myanmar,"Interp(2023, 42.5, 2030, 44.0, 2050, 45.0)",%,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Current Accounts,Philippines,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Baseline Simulation,Philippines,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,AMS Target Scenario,Philippines,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Capital Cost,Regional Aspiration Scenario,Philippines,"Interp(2023, 1730.0, 2030, 1680.0, 2050, 1630.0)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Current Accounts,Philippines,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Fixed OM Cost,Baseline Simulation,Philippines,"Interp(2023, 64.5, 2030, 62.5, 2050, 60.6)",thousand USD/MW,,,DEA Indonesia
