node,region,variable,units,CA,BAS,ATS,RAS
Coal Supercritical CCS,Laos,Historical Production,Gigawatt-Hour,0,0,0,
Coal Supercritical CCS,Laos,Hourly Storage Carryover,Yes/No,Yes,,,
Coal Supercritical CCS,Laos,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Coal Supercritical CCS,Laos,Lifetime,Years,40 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,40 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,40 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,40 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/
Coal Supercritical CCS,Laos,Maximum Availability,Percent,Coal Ultrasupercritical:Maximum Availability,Coal Ultrasupercritical:Maximum Availability,Coal Ultrasupercritical:Maximum Availability,ScenarioValue(AMS Target Scenario)*Key\Capacity Additions Multiplier\Fossil Fuel Dispatch Reduction:Activity Level[Percent]
Coal Supercritical CCS,Laos,Maximum Capacity,Megawatt,,,,0
Coal Supercritical CCS,Laos,Maximum Capacity Addition,Megawatt,,,,"Interp(BaseYear, 0, 2023 + Key\Modeling Assumptions\Coal and Gas CCS Lead Time:Activity Level+4- 1, 0, 2023 + Key\Modeling Assumptions\Coal and Gas CCS Lead Time:Activity Level+4, 1878)"
Coal Supercritical CCS,Laos,Maximum Production,Gigajoule,,,,Unlimited
Coal Supercritical CCS,Laos,Maximum_Share_of_Production,%,,100,100,100
Coal Supercritical CCS,Laos,Merit Order,Merit Order,2,2,2,
Coal Supercritical CCS,Laos,Minimum Capacity,Megawatt,,,,0
Coal Supercritical CCS,Laos,Minimum Capacity Addition,Megawatt,,,,0
Coal Supercritical CCS,Laos,Minimum Charge,Share,0,0,0,0
Coal Supercritical CCS,Laos,Minimum Production,Gigajoule,,,,0
Coal Supercritical CCS,Laos,Minimum Share of Production,Percent,,,,0
Coal Supercritical CCS,Laos,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Coal Supercritical CCS,Laos,Node,ID,BranchID(Key\Transmission\Nodes\Laos:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Laos:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Laos:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Laos:Activity Level[NA])
Coal Supercritical CCS,Laos,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Coal Supercritical CCS,Laos,Process Efficiency,Percent,"Interp(2022, 28, 2030, 29, 2050, 30) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 28, 2030, 29, 2050, 30) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 28, 2030, 29, 2050, 30) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 28, 2030, 29, 2050, 30) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Coal Supercritical CCS,Laos,Process Share,Share,0,0,0,
Coal Supercritical CCS,Laos,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,"If((Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])>0),(Capital Cost[Thousand USD/MW] * (Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])) / 1000),0)","If((Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])>0),(Capital Cost[Thousand USD/MW] * (Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])) / 1000),0)"
Coal Supercritical CCS,Laos,Renewable Qualified,Percent,,,,0
Coal Supercritical CCS,Laos,Salvage Value,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Laos,Seasonal Storage Carryover,Yes/No,No,,,
Coal Supercritical CCS,Laos,Starting Charge,Share,0,,,
Coal Supercritical CCS,Laos,Stranded Cost,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Laos,Variable OM Cost,U.S. Dollar,"Interp(2020, 5.5, 2030, 5.33, 2050, 5.23) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
 ?_x000D_
Coal Supercritical:Variable OM Cost[USD/MWh] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS VOM[USD/MWh]) / 100 ? _x000D_
Supercritical VOM cost plus calculated VOM cost for CCS (average of fuel types)","Interp(2020, 5.5, 2030, 5.33, 2050, 5.23) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
 ?_x000D_
Coal Supercritical:Variable OM Cost[USD/MWh] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS VOM[USD/MWh]) / 100 ? _x000D_
Supercritical VOM cost plus calculated VOM cost for CCS (average of fuel types)","Interp(2020, 5.5, 2030, 5.33, 2050, 5.23) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
 ?_x000D_
Coal Supercritical:Variable OM Cost[USD/MWh] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS VOM[USD/MWh]) / 100 ? _x000D_
Supercritical VOM cost plus calculated VOM cost for CCS (average of fuel types)","Interp(2020, 5.5, 2030, 5.33, 2050, 5.23) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
 ?_x000D_
Coal Supercritical:Variable OM Cost[USD/MWh] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS VOM[USD/MWh]) / 100 ? _x000D_
Supercritical VOM cost plus calculated VOM cost for CCS (average of fuel types)"
Coal Supercritical CCS,Malaysia,Annual Storage Carryover,Yes/No,No,,,
Coal Supercritical CCS,Malaysia,Capacity Additions,MW,0,0,0,0
Coal Supercritical CCS,Malaysia,Capacity Credit,Percent,80 ? max availability,80 ? max availability,80 ? max availability,80 ? max availability
Coal Supercritical CCS,Malaysia,Capacity Retirement,MW,0,0,0,0
Coal Supercritical CCS,Malaysia,Capital Cost,U.S. Dollar,"Interp(2020, 3844, 2030, 3636, 2050, 3256) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
_x000D_
 ?_x000D_
Coal Supercritical:Capital Cost[Thousand USD/MW] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS Capital[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS Capital[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS Capital[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS Capital[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS Capital[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS Capital[Thousand USD/MW]) / 100 ? _x000D_
Supercritical Capital Cost plus calculated capital cost for CCS (average of fuel types)","Interp(2020, 3844, 2030, 3636, 2050, 3256) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
_x000D_
 ?_x000D_
Coal Supercritical:Capital Cost[Thousand USD/MW] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS Capital[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS Capital[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS Capital[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS Capital[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS Capital[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS Capital[Thousand USD/MW]) / 100 ? _x000D_
Supercritical Capital Cost plus calculated capital cost for CCS (average of fuel types)","Interp(2020, 3844, 2030, 3636, 2050, 3256) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
_x000D_
 ?_x000D_
Coal Supercritical:Capital Cost[Thousand USD/MW] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS Capital[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS Capital[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS Capital[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS Capital[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS Capital[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS Capital[Thousand USD/MW]) / 100 ? _x000D_
Supercritical Capital Cost plus calculated capital cost for CCS (average of fuel types)","Interp(2020, 3844, 2030, 3636, 2050, 3256) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
_x000D_
 ?_x000D_
Coal Supercritical:Capital Cost[Thousand USD/MW] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS Capital[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS Capital[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS Capital[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS Capital[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS Capital[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS Capital[Thousand USD/MW]) / 100 ? _x000D_
Supercritical Capital Cost plus calculated capital cost for CCS (average of fuel types)"
Coal Supercritical CCS,Malaysia,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Coal Supercritical CCS,Malaysia,Dispatchable,Yes/No,Yes,,,
Coal Supercritical CCS,Malaysia,Endogenous Capacity,Megawatt,0,0,0,
Coal Supercritical CCS,Malaysia,Existing Capacity,MW,0,Value(2024),Value(2024),Value(2024)
Coal Supercritical CCS,Malaysia,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Coal Supercritical CCS,Malaysia,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
