node,feedstock_fuel,region,branch,variable,unit,CA,BAS,ATS,RAS
Coal Subcritical_MYPE,Coal Unspecified,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE\Feedstock Fuels\Coal Unspecified,Feedstock Fuel Share,2020 USD,Remainder(100) ? AFOC Assumption,Remainder(100) ? AFOC Assumption,Remainder(100) ? AFOC Assumption,Remainder(100) ? AFOC Assumption
Coal Subcritical_MYPE,Coal Unspecified,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE\Feedstock Fuels\Coal Unspecified,Fuel Cost,2020 USD,Resources\Primary\Coal Unspecified:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Unspecified:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Unspecified:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Unspecified:Import Cost[2020 USD/Tonne]
Coal Subcritical_MYPE,Coal Unspecified,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE\Feedstock Fuels\Coal Unspecified,Fuel Source,2020 USD,,,,SourceBelow
Coal Subcritical_MYSR,Ammonia,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,0,0
Coal Subcritical_MYSR,Ammonia,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Subcritical_MYSR,Ammonia,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Subcritical_MYSR,Biomass,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Biomass,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Subcritical_MYSR,Biomass,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Biomass,Fuel Cost,U.S. Dollar,Resources\Primary\Bagasse:Production Cost[USD/Tonne],Resources\Primary\Bagasse:Production Cost[USD/Tonne],Resources\Primary\Bagasse:Production Cost[USD/Tonne],Resources\Primary\Bagasse:Production Cost[USD/Tonne]
Coal Subcritical_MYSR,Biomass,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Biomass,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Subcritical_MYSR,Coal Anthracite,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Anthracite,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Subcritical_MYSR,Coal Anthracite,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Anthracite,Fuel Cost,U.S. Dollar,Resources\Primary\Coal Anthracite:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Anthracite:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Anthracite:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Anthracite:Import Cost[2020 USD/Tonne]
Coal Subcritical_MYSR,Coal Anthracite,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Anthracite,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Subcritical_MYSR,Coal Bituminous,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Bituminous,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Subcritical_MYSR,Coal Bituminous,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Bituminous,Fuel Cost,U.S. Dollar,Resources\Primary\Coal Bituminous:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Bituminous:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Bituminous:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Bituminous:Import Cost[2020 USD/Tonne]
Coal Subcritical_MYSR,Coal Bituminous,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Bituminous,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Subcritical_MYSR,Coal Lignite,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Lignite,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Subcritical_MYSR,Coal Lignite,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Lignite,Fuel Cost,U.S. Dollar,Resources\Primary\Coal Lignite:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Lignite:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Lignite:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Lignite:Import Cost[2020 USD/Tonne]
Coal Subcritical_MYSR,Coal Lignite,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Lignite,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Subcritical_MYSR,Coal Sub bituminous,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Sub bituminous,Feedstock Fuel Share,2020 USD,0,0,0,0
Coal Subcritical_MYSR,Coal Sub bituminous,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Sub bituminous,Fuel Cost,2020 USD,Resources\Primary\Coal Sub bituminous:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Sub bituminous:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Sub bituminous:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Sub bituminous:Import Cost[2020 USD/Tonne]
Coal Subcritical_MYSR,Coal Sub bituminous,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Sub bituminous,Fuel Source,2020 USD,,,,SourceBelow
Coal Subcritical_MYSR,Coal Unspecified,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Unspecified,Feedstock Fuel Share,2020 USD,Remainder(100) ? AFOC Assumption,Remainder(100) ? AFOC Assumption,Remainder(100) ? AFOC Assumption,Remainder(100) ? AFOC Assumption
Coal Subcritical_MYSR,Coal Unspecified,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Unspecified,Fuel Cost,2020 USD,Resources\Primary\Coal Unspecified:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Unspecified:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Unspecified:Import Cost[2020 USD/Tonne],Resources\Primary\Coal Unspecified:Import Cost[2020 USD/Tonne]
Coal Subcritical_MYSR,Coal Unspecified,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR\Feedstock Fuels\Coal Unspecified,Fuel Source,2020 USD,,,,SourceBelow
Coal Supercritical CCS,Ammonia,Base Template,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,0,0
Coal Supercritical CCS,Ammonia,Base Template,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Supercritical CCS,Ammonia,Base Template,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Supercritical CCS,Ammonia,Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,0,0
Coal Supercritical CCS,Ammonia,Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Supercritical CCS,Ammonia,Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Supercritical CCS,Ammonia,Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,0,0
Coal Supercritical CCS,Ammonia,Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Supercritical CCS,Ammonia,Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Supercritical CCS,Ammonia,Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,"Interp(2046, 0, 2047, 1.49, 2048, 1.52, 2049, 1.49, 2050, 3.03, 2051, 24.24, 2052, 26.87, 2053, 27.27, 2054, 27.27, 2055, 43.28, 2056, 43.28, 2057, 43.94, 2058, 43.94, 2059, 43.94, 2060, 43.94) ?  _x000D_
_x000D_
_x000D_
Indonesia coal powerplant retirement-retrofit scenario","Interp(2046, 0, 2047, 1.49, 2048, 1.52, 2049, 1.49, 2050, 3.03, 2051, 24.24, 2052, 26.87, 2053, 27.27, 2054, 27.27, 2055, 43.28, 2056, 43.28, 2057, 43.94, 2058, 43.94, 2059, 43.94, 2060, 43.94) ?  _x000D_
_x000D_
_x000D_
Indonesia coal powerplant retirement-retrofit scenario"
Coal Supercritical CCS,Ammonia,Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Supercritical CCS,Ammonia,Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Supercritical CCS,Ammonia,Laos,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,0,0
Coal Supercritical CCS,Ammonia,Laos,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Supercritical CCS,Ammonia,Laos,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Supercritical CCS,Ammonia,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,0,0
Coal Supercritical CCS,Ammonia,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Supercritical CCS,Ammonia,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Supercritical CCS,Ammonia,Myanmar,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,0,0
Coal Supercritical CCS,Ammonia,Myanmar,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Supercritical CCS,Ammonia,Myanmar,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Supercritical CCS,Ammonia,Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,0,0
Coal Supercritical CCS,Ammonia,Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Supercritical CCS,Ammonia,Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Supercritical CCS,Ammonia,Singapore,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,0,0
Coal Supercritical CCS,Ammonia,Singapore,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Supercritical CCS,Ammonia,Singapore,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Supercritical CCS,Ammonia,Thailand,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,0,0
Coal Supercritical CCS,Ammonia,Thailand,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Supercritical CCS,Ammonia,Thailand,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Supercritical CCS,Ammonia,Timor Leste,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,0,0
Coal Supercritical CCS,Ammonia,Timor Leste,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Supercritical CCS,Ammonia,Timor Leste,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Supercritical CCS,Ammonia,Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Feedstock Fuel Share,2020 USD,0,0,Remainder(100),Remainder(100)
Coal Supercritical CCS,Ammonia,Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Cost,2020 USD,Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg],Resources\Secondary\Ammonia:Production Cost[2020 USD/kg]
Coal Supercritical CCS,Ammonia,Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Ammonia,Fuel Source,2020 USD,,,,SourceModule(Ammonia Production for Energy Use)
Coal Supercritical CCS,Biomass,Base Template,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Biomass,Base Template,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Cost,U.S. Dollar,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Coal Supercritical CCS,Biomass,Base Template,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Supercritical CCS,Biomass,Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Biomass,Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Cost,U.S. Dollar,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Coal Supercritical CCS,Biomass,Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Supercritical CCS,Biomass,Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Biomass,Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Cost,U.S. Dollar,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Coal Supercritical CCS,Biomass,Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Supercritical CCS,Biomass,Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,U.S. Dollar,0,0,"Interp(2029, 0, 2030, 1.52, 2031, 3.03, 2032, 3.03, 2033, 4.55, 2034, 6.06, 2035, 7.46, 2036, 8.96, 2037, 10.45, 2038, 11.94, 2039, 13.43, 2040, 13.43, 2041, 13.43, 2042, 17.91, 2043, 17.91, 2044, 19.7, 2045, 37.31, 2046, 43.94, 2047, 47.76, 2048, 48.48, 2049, 50.75, 2050, 53.03, 2051, 54.55, 2052, 53.73, 2053, 54.55, 2054, 54.55, 2055, 53.73, 2056, 53.73, 2057, 56.06, 2058, 56.06, 2059, 56.06, 2060, 56.06) ?_x000D_
_x000D_
 Indonesia coal powerplant retirement-retrofit scenario","Interp(2029, 0, 2030, 1.52, 2031, 3.03, 2032, 3.03, 2033, 4.55, 2034, 6.06, 2035, 7.46, 2036, 8.96, 2037, 10.45, 2038, 11.94, 2039, 13.43, 2040, 13.43, 2041, 13.43, 2042, 17.91, 2043, 17.91, 2044, 19.7, 2045, 37.31, 2046, 43.94, 2047, 47.76, 2048, 48.48, 2049, 50.75, 2050, 53.03, 2051, 54.55, 2052, 53.73, 2053, 54.55, 2054, 54.55, 2055, 53.73, 2056, 53.73, 2057, 56.06, 2058, 56.06, 2059, 56.06, 2060, 56.06) ?_x000D_
_x000D_
 Indonesia coal powerplant retirement-retrofit scenario"
Coal Supercritical CCS,Biomass,Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Cost,U.S. Dollar,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Coal Supercritical CCS,Biomass,Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Supercritical CCS,Biomass,Laos,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Biomass,Laos,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Cost,U.S. Dollar,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Coal Supercritical CCS,Biomass,Laos,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Supercritical CCS,Biomass,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Biomass,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Cost,U.S. Dollar,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Coal Supercritical CCS,Biomass,Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Supercritical CCS,Biomass,Myanmar,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Biomass,Myanmar,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Cost,U.S. Dollar,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Coal Supercritical CCS,Biomass,Myanmar,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Supercritical CCS,Biomass,Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Biomass,Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Cost,U.S. Dollar,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Coal Supercritical CCS,Biomass,Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Supercritical CCS,Biomass,Singapore,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Biomass,Singapore,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Cost,U.S. Dollar,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Coal Supercritical CCS,Biomass,Singapore,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Supercritical CCS,Biomass,Thailand,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Biomass,Thailand,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Cost,U.S. Dollar,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Coal Supercritical CCS,Biomass,Thailand,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Source,U.S. Dollar,,,,SourceBelow
Coal Supercritical CCS,Biomass,Timor Leste,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Biomass,Timor Leste,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass,Fuel Cost,U.S. Dollar,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
