branch,branch_type,variable,unit
Transformation\Centralized Electricity Generation\Processes\Tidal,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wave,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Wave,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Wave,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Wave,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Wave,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Wave,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Wave,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Wave,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Wave,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wave,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Wind Onshore,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Wind Onshore,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Offshore,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Wind Offshore,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Offshore,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Offshore,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Offshore,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Offshore,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Offshore,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Offshore,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Wind Offshore,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Offshore,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Biogas,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Biogas,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Biogas,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Biogas,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Biogas,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Biogas,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Biogas,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Biogas,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Biogas,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Biogas,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Waste,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Waste,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Waste,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Waste,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Waste,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Waste,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Waste,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Waste,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Waste,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Waste,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Lithium Ion Batteries,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Lithium Ion Batteries,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Lithium Ion Batteries,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Lithium Ion Batteries,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Lithium Ion Batteries,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Lithium Ion Batteries,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Lithium Ion Batteries,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Lithium Ion Batteries,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Lithium Ion Batteries,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Lithium Ion Batteries,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Pumped Hydro,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Pumped Hydro,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Pumped Hydro,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Pumped Hydro,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Pumped Hydro,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Pumped Hydro,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Pumped Hydro,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Pumped Hydro,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Pumped Hydro,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Pumped Hydro,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\CAES,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\CAES,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\CAES,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\CAES,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\CAES,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\CAES,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\CAES,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\CAES,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\CAES,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\CAES,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\VRB Flow Batteries,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\VRB Flow Batteries,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\VRB Flow Batteries,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\VRB Flow Batteries,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\VRB Flow Batteries,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\VRB Flow Batteries,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\VRB Flow Batteries,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\VRB Flow Batteries,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\VRB Flow Batteries,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\VRB Flow Batteries,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Direct Air Capture,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Direct Air Capture,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Direct Air Capture,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Direct Air Capture,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Direct Air Capture,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Direct Air Capture,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Direct Air Capture,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Direct Air Capture,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Direct Air Capture,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Direct Air Capture,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\H2 Fuel Cell,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\H2 Fuel Cell,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\H2 Fuel Cell,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\H2 Fuel Cell,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\H2 Fuel Cell,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\H2 Fuel Cell,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\H2 Fuel Cell,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\H2 Fuel Cell,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\H2 Fuel Cell,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\H2 Fuel Cell,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDSA,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDSA,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDSA,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDSA,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDSA,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDSA,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDSA,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDSA,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDSA,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDSA,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDKA,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDKA,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDKA,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDKA,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDKA,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDKA,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDKA,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDKA,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDKA,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDKA,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDEast,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDEast,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDEast,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDEast,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDEast,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDEast,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDEast,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDEast,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDEast,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDEast,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYPE,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYPE,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYPE,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYPE,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYPE,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYPE,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYPE,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYPE,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYPE,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYPE,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Transformation Process,Maximum Availability,Percent
