ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Vietnam,Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Brunei,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Cambodia,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Interp(2025, 0.1, 2030, 0.35, 2035, 0.5, 2040, 0.5, 2045, 0.5, 2050, 0.5, 2055, 0.5, 2060, 0.5)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.05 Mt/yr/yr (empirical history); practical_ceiling=0.5 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Indonesia,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Interp(2025, 16.0, 2030, 23.5, 2035, 31.0, 2040, 38.5, 2045, 46.0, 2050, 53.5, 2055, 61.0, 2060, 65.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=13.0 Mt/yr; max_addition_rate=1.5 Mt/yr/yr (empirical history); practical_ceiling=65.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Medium-High
Laos,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Malaysia,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Interp(2025, 3.6, 2030, 5.6, 2035, 7.6, 2040, 9.6, 2045, 11.6, 2050, 13.6, 2055, 14.0, 2060, 14.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=2.8 Mt/yr; max_addition_rate=0.4 Mt/yr/yr (empirical history); practical_ceiling=14.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Medium-High
Myanmar,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Interp(2025, 0.1, 2030, 0.35, 2035, 0.5, 2040, 0.5, 2045, 0.5, 2050, 0.5, 2055, 0.5, 2060, 0.5)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.05 Mt/yr/yr (empirical history); practical_ceiling=0.5 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Philippines,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Low
Singapore,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Interp(2025, 0.5, 2030, 1.0, 2035, 1.5, 2040, 1.5, 2045, 1.5, 2050, 1.5, 2055, 1.5, 2060, 1.5)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.3 Mt/yr; max_addition_rate=0.1 Mt/yr/yr (empirical history); practical_ceiling=1.5 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Medium-High
Thailand,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Interp(2025, 2.4, 2030, 3.4, 2035, 4.4, 2040, 5.4, 2045, 6.4, 2050, 7.4, 2055, 8.4, 2060, 9.4)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=2.0 Mt/yr; max_addition_rate=0.2 Mt/yr/yr (empirical history); practical_ceiling=10.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Medium-High
Vietnam,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Interp(2025, 0.4, 2030, 0.65, 2035, 0.9, 2040, 1.15, 2045, 1.4, 2050, 1.5, 2055, 1.5, 2060, 1.5)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.3 Mt/yr; max_addition_rate=0.05 Mt/yr/yr (empirical history); practical_ceiling=1.5 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Biodiesel",bioenergy_leap_input.csv,refining_capacity,Medium-High
Brunei,Transformation\Bioethanol Production\Processes\Molasses,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Cambodia,Transformation\Bioethanol Production\Processes\Molasses,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Indonesia,Transformation\Bioethanol Production\Processes\Molasses,Maximum Capacity,"Interp(2025, 0.15, 2030, 0.4, 2035, 0.5, 2040, 0.5, 2045, 0.5, 2050, 0.5, 2055, 0.5, 2060, 0.5)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.05 Mt/yr; max_addition_rate=0.05 Mt/yr/yr (empirical history); practical_ceiling=0.5 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Medium-High
Laos,Transformation\Bioethanol Production\Processes\Molasses,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Malaysia,Transformation\Bioethanol Production\Processes\Molasses,Maximum Capacity,"Interp(2025, 0.12, 2030, 0.37, 2035, 0.5, 2040, 0.5, 2045, 0.5, 2050, 0.5, 2055, 0.5, 2060, 0.5)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.02 Mt/yr; max_addition_rate=0.05 Mt/yr/yr (empirical history); practical_ceiling=0.5 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Medium-High
Myanmar,Transformation\Bioethanol Production\Processes\Molasses,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Philippines,Transformation\Bioethanol Production\Processes\Molasses,Maximum Capacity,"Interp(2025, 0.4, 2030, 0.65, 2035, 0.9, 2040, 1.15, 2045, 1.4, 2050, 1.5, 2055, 1.5, 2060, 1.5)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.3 Mt/yr; max_addition_rate=0.05 Mt/yr/yr (empirical history); practical_ceiling=1.5 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Medium-High
Singapore,Transformation\Bioethanol Production\Processes\Molasses,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
