[15:30:29] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=15:29:24 | finished=None
[17:20:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=17:18:06 | finished=None
[17:21:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=17:18:06 | finished=None
[17:21:33] stage=dry_pushing | scen=AMS Target Scenario 2/4 | region=Laos 4/10 | row=40/57/57 | rows_written=595 | last_hb=17:21:30 | finished=None
[17:22:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=17:21:30 | finished=None
[17:22:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=17:21:30 | finished=None
[17:23:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=17:21:30 | finished=None
[17:23:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=17:21:30 | finished=None
[17:24:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=17:21:30 | finished=None
[17:24:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=17:21:30 | finished=None
[17:25:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=17:24:48 | finished=None
[17:25:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=17:24:48 | finished=None
[17:26:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=17:24:48 | finished=None
[17:26:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=17:24:48 | finished=None
[17:27:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=17:24:48 | finished=None
[17:27:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=17:24:48 | finished=None
[17:28:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=17:24:48 | finished=None
[17:28:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=17:28:07 | finished=None
[17:29:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=17:28:07 | finished=None
[17:29:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=17:28:07 | finished=None
[17:30:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=17:28:07 | finished=None
[17:30:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=17:28:07 | finished=None
[17:31:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=17:28:07 | finished=None
[17:31:33] stage=dry_pushing | scen=AMS Target Scenario 2/4 | region=Philippines 7/10 | row=10/59/59 | rows_written=595 | last_hb=17:28:07 | finished=None
[17:32:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=17:31:32 | finished=None
[17:32:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=17:31:32 | finished=None
[17:33:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=17:31:32 | finished=None
[17:33:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=17:31:32 | finished=None
[17:34:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=17:31:32 | finished=None
[17:34:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=17:31:32 | finished=None
[17:35:03] stage=dry_pushing | scen=AMS Target Scenario 2/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=17:34:59 | finished=None
[17:35:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=17:34:59 | finished=None
[17:36:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=17:34:59 | finished=None
[17:36:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=17:34:59 | finished=None
[17:37:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=17:34:59 | finished=None
[17:37:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=17:34:59 | finished=None
[17:38:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=17:34:59 | finished=None
[17:38:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=17:38:20 | finished=None
[17:39:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=17:38:20 | finished=None
[17:39:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=17:38:20 | finished=None
[17:40:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=17:38:20 | finished=None
[17:40:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=17:38:20 | finished=None
[17:41:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=17:38:20 | finished=None
[17:41:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=17:38:20 | finished=None
[17:42:03] stage=real_pushing | scen=AMS Target Scenario 2/4 | region=Laos 4/10 | row=20/57/57 | rows_written=595 | last_hb=17:42:01 | finished=None
[17:42:33] stage=real_pushing | scen=AMS Target Scenario 2/4 | region=Vietnam 10/10 | row=30/56/56 | rows_written=595 | last_hb=17:42:32 | finished=None
[17:43:03] stage=real_inject_done | scen=AMS Target Scenario 2/4 | region=Vietnam 10/10 | row=50/56/56 | rows_written=595 | last_hb=17:42:32 | finished=None
[17:43:33] stage=scenario_start | scen=Regional Aspiration Scenario 3/4 | region=Vietnam 10/10 | row=50/56/56 | rows_written=595 | last_hb=17:42:32 | finished=None
[17:44:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:43:56 | finished=None
[17:44:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:43:56 | finished=None
[17:45:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:43:56 | finished=None
[17:45:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:43:56 | finished=None
[17:46:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:43:56 | finished=None
[17:46:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:43:56 | finished=None
[17:47:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:43:56 | finished=None
[17:47:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:47:26 | finished=None
[17:48:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:47:26 | finished=None
[17:48:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:47:26 | finished=None
[17:49:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:47:26 | finished=None
[17:49:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:47:26 | finished=None
[17:50:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:47:26 | finished=None
[17:50:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:47:26 | finished=None
[17:51:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:50:52 | finished=None
[17:51:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:50:52 | finished=None
[17:52:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:50:52 | finished=None
[17:52:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:50:52 | finished=None
[17:53:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:50:52 | finished=None
[17:53:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:50:52 | finished=None
[17:54:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:50:52 | finished=None
[17:54:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=17:54:09 | finished=None
[17:55:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=17:54:09 | finished=None
[17:55:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=17:54:09 | finished=None
[17:56:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=17:54:09 | finished=None
[17:56:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=17:54:09 | finished=None
[17:57:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=17:54:09 | finished=None
[17:57:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=17:57:19 | finished=None
[17:58:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=17:57:19 | finished=None
[17:58:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=17:57:19 | finished=None
[17:59:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=17:57:19 | finished=None
[17:59:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=17:57:19 | finished=None
[18:00:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=17:57:19 | finished=None
[18:00:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:00:28 | finished=None
[18:01:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:00:28 | finished=None
[18:01:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:00:28 | finished=None
[18:02:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:00:28 | finished=None
[18:02:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:00:28 | finished=None
[18:03:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:00:28 | finished=None
[18:03:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:00:28 | finished=None
[18:04:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=18:03:39 | finished=None
[18:04:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=18:03:39 | finished=None
[18:05:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=18:03:39 | finished=None
[18:05:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=18:03:39 | finished=None
[18:06:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=18:03:39 | finished=None
[18:06:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=18:03:39 | finished=None
[18:07:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:06:46 | finished=None
[18:07:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:06:46 | finished=None
[18:08:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:06:46 | finished=None
[18:08:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:06:46 | finished=None
[18:09:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:06:46 | finished=None
[18:09:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:06:46 | finished=None
[18:10:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:09:55 | finished=None
[18:10:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:09:55 | finished=None
[18:11:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:09:55 | finished=None
[18:11:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:09:55 | finished=None
[18:12:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:09:55 | finished=None
[18:12:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:09:55 | finished=None
[18:13:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:09:55 | finished=None
[18:13:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:13:10 | finished=None
[18:14:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:13:10 | finished=None
[18:14:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:13:10 | finished=None
[18:15:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:13:10 | finished=None
[18:15:33] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:13:10 | finished=None
[18:16:03] stage=dry_region | scen=Regional Aspiration Scenario 3/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:13:10 | finished=None
[18:16:33] stage=real_pushing | scen=Regional Aspiration Scenario 3/4 | region=Indonesia 3/10 | row=30/62/62 | rows_written=595 | last_hb=18:16:29 | finished=None
[18:17:03] stage=real_pushing | scen=Regional Aspiration Scenario 3/4 | region=Vietnam 10/10 | row=10/56/56 | rows_written=595 | last_hb=18:17:00 | finished=None
[18:17:33] stage=real_inject_done | scen=Regional Aspiration Scenario 3/4 | region=Vietnam 10/10 | row=50/56/56 | rows_written=595 | last_hb=18:17:00 | finished=None
[18:18:03] stage=scenario_start | scen=Current Accounts 4/4 | region=Vietnam 10/10 | row=50/56/56 | rows_written=595 | last_hb=18:17:00 | finished=None
[18:18:33] stage=dry_region | scen=Current Accounts 4/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=18:18:23 | finished=None
[18:19:03] stage=dry_region | scen=Current Accounts 4/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=18:18:23 | finished=None
[18:19:33] stage=dry_region | scen=Current Accounts 4/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=18:18:23 | finished=None
[18:20:03] stage=dry_region | scen=Current Accounts 4/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=18:18:23 | finished=None
[18:20:33] stage=dry_region | scen=Current Accounts 4/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=18:18:23 | finished=None
[18:21:03] stage=dry_region | scen=Current Accounts 4/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=18:18:23 | finished=None
[18:21:33] stage=dry_region | scen=Current Accounts 4/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=18:21:27 | finished=None
[18:22:03] stage=dry_region | scen=Current Accounts 4/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=18:21:27 | finished=None
[18:22:33] stage=dry_region | scen=Current Accounts 4/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=18:21:27 | finished=None
[18:23:03] stage=dry_region | scen=Current Accounts 4/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=18:21:27 | finished=None
[18:23:33] stage=dry_region | scen=Current Accounts 4/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=18:21:27 | finished=None
[18:24:03] stage=dry_region | scen=Current Accounts 4/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=18:21:27 | finished=None
[18:24:33] stage=dry_region | scen=Current Accounts 4/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=18:21:27 | finished=None
[18:25:03] stage=dry_region | scen=Current Accounts 4/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=18:24:38 | finished=None
[18:25:33] stage=dry_region | scen=Current Accounts 4/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=18:24:38 | finished=None
[18:26:03] stage=dry_region | scen=Current Accounts 4/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=18:24:38 | finished=None
[18:26:33] stage=dry_region | scen=Current Accounts 4/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=18:24:38 | finished=None
[18:27:03] stage=dry_region | scen=Current Accounts 4/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=18:24:38 | finished=None
[18:27:33] stage=dry_region | scen=Current Accounts 4/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=18:24:38 | finished=None
[18:28:03] stage=dry_region | scen=Current Accounts 4/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=18:27:51 | finished=None
[18:28:33] stage=dry_region | scen=Current Accounts 4/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=18:27:51 | finished=None
[18:29:03] stage=dry_region | scen=Current Accounts 4/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=18:27:51 | finished=None
[18:29:33] stage=dry_region | scen=Current Accounts 4/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=18:27:51 | finished=None
[18:30:03] stage=dry_region | scen=Current Accounts 4/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=18:27:51 | finished=None
[18:30:33] stage=dry_region | scen=Current Accounts 4/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=18:27:51 | finished=None
[18:31:03] stage=dry_region | scen=Current Accounts 4/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=18:30:57 | finished=None
[18:31:33] stage=dry_region | scen=Current Accounts 4/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=18:30:57 | finished=None
[18:32:03] stage=dry_region | scen=Current Accounts 4/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=18:30:57 | finished=None
[18:32:33] stage=dry_region | scen=Current Accounts 4/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=18:30:57 | finished=None
[18:33:03] stage=dry_region | scen=Current Accounts 4/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=18:30:57 | finished=None
[18:33:33] stage=dry_region | scen=Current Accounts 4/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=18:30:57 | finished=None
[18:34:03] stage=dry_region | scen=Current Accounts 4/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=595 | last_hb=18:30:57 | finished=None
[18:34:33] stage=dry_region | scen=Current Accounts 4/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:34:06 | finished=None
[18:35:03] stage=dry_region | scen=Current Accounts 4/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:34:06 | finished=None
[18:35:33] stage=dry_region | scen=Current Accounts 4/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:34:06 | finished=None
[18:36:03] stage=dry_region | scen=Current Accounts 4/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:34:06 | finished=None
[18:36:33] stage=dry_region | scen=Current Accounts 4/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:34:06 | finished=None
[18:37:03] stage=dry_region | scen=Current Accounts 4/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=595 | last_hb=18:34:06 | finished=None
[18:37:33] stage=dry_region | scen=Current Accounts 4/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=18:37:14 | finished=None
[18:38:03] stage=dry_region | scen=Current Accounts 4/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=18:37:14 | finished=None
[18:38:33] stage=dry_region | scen=Current Accounts 4/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=18:37:14 | finished=None
[18:39:03] stage=dry_region | scen=Current Accounts 4/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=18:37:14 | finished=None
[18:39:33] stage=dry_region | scen=Current Accounts 4/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=18:37:14 | finished=None
[18:40:03] stage=dry_region | scen=Current Accounts 4/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=595 | last_hb=18:37:14 | finished=None
[18:40:33] stage=dry_region | scen=Current Accounts 4/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:40:21 | finished=None
[18:41:03] stage=dry_region | scen=Current Accounts 4/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:40:21 | finished=None
[18:41:33] stage=dry_region | scen=Current Accounts 4/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:40:21 | finished=None
[18:42:03] stage=dry_region | scen=Current Accounts 4/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:40:21 | finished=None
[18:42:33] stage=dry_region | scen=Current Accounts 4/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:40:21 | finished=None
[18:43:03] stage=dry_region | scen=Current Accounts 4/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:40:21 | finished=None
[18:43:33] stage=dry_region | scen=Current Accounts 4/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=595 | last_hb=18:40:21 | finished=None
[18:44:03] stage=dry_region | scen=Current Accounts 4/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:43:35 | finished=None
[18:44:33] stage=dry_region | scen=Current Accounts 4/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:43:35 | finished=None
[18:45:03] stage=dry_region | scen=Current Accounts 4/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:43:35 | finished=None
[18:45:33] stage=dry_region | scen=Current Accounts 4/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:43:35 | finished=None
[18:46:03] stage=dry_region | scen=Current Accounts 4/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:43:35 | finished=None
[18:46:33] stage=dry_region | scen=Current Accounts 4/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:43:35 | finished=None
[18:47:03] stage=dry_region | scen=Current Accounts 4/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=595 | last_hb=18:43:35 | finished=None
